00A0 ! 0020 # <noBreak>
00C0 = 0041 0300
00C1 = 0041 0301
00C2 = 0041 0302
00C3 = 0041 0303
00C4 = 0041 0308
00C5 = 0041 030A
00C6 ! 0041 0045 # <compat>
00C7 = 0043 0327
00C8 = 0045 0300
00C9 = 0045 0301
00CA = 0045 0302
00CB = 0045 0308
00CC = 0049 0300
00CD = 0049 0301
00CE = 0049 0302
00CF = 0049 0308
00D1 = 004E 0303
00D2 = 004F 0300
00D3 = 004F 0301
00D4 = 004F 0302
00D5 = 004F 0303
00D6 = 004F 0308
00D9 = 0055 0300
00DA = 0055 0301
00DB = 0055 0302
00DC = 0055 0308
00DD = 0059 0301
00E0 = 0061 0300
00E1 = 0061 0301
00E2 = 0061 0302
00E3 = 0061 0303
00E4 = 0061 0308
00E5 = 0061 030A
00E6 ! 0061 0065 # <compat>
00E7 = 0063 0327
00E8 = 0065 0300
00E9 = 0065 0301
00EA = 0065 0302
00EB = 0065 0308
00EC = 0069 0300
00ED = 0069 0301
00EE = 0069 0302
00EF = 0069 0308
00F1 = 006E 0303
00F2 = 006F 0300
00F3 = 006F 0301
00F4 = 006F 0302
00F5 = 006F 0303
00F6 = 006F 0308
00F9 = 0075 0300
00FA = 0075 0301
00FB = 0075 0302
00FC = 0075 0308
00FD = 0079 0301
00FF = 0079 0308
0100 = 0041 0304
0101 = 0061 0304
0102 = 0041 0306
0103 = 0061 0306
0104 = 0041 0328
0105 = 0061 0328
0106 = 0043 0301
0107 = 0063 0301
0108 = 0043 0302
0109 = 0063 0302
010A = 0043 0307
010B = 0063 0307
010C = 0043 030C
010D = 0063 030C
010E = 0044 030C
010F = 0064 030C
0112 = 0045 0304
0113 = 0065 0304
0114 = 0045 0306
0115 = 0065 0306
0116 = 0045 0307
0117 = 0065 0307
0118 = 0045 0328
0119 = 0065 0328
011A = 0045 030C
011B = 0065 030C
011C = 0047 0302
011D = 0067 0302
011E = 0047 0306
011F = 0067 0306
0120 = 0047 0307
0121 = 0067 0307
0122 = 0047 0327
0123 = 0067 0327
0124 = 0048 0302
0125 = 0068 0302
0128 = 0049 0303
0129 = 0069 0303
012A = 0049 0304
012B = 0069 0304
012C = 0049 0306
012D = 0069 0306
012E = 0049 0328
012F = 0069 0328
0130 = 0049 0307
0132 ! 0049 004A # <compat>
0133 ! 0069 006A # <compat>
0134 = 004A 0302
