# Azerbaijani (Azərbaycanca)
case I ı
case İ i
letters Ç Ğ İ Ö Ş Ü
0x00 U+0000
0x01 U+0001
0x02 U+0002
0x03 U+0003
0x04 U+0004
0x05 U+0005
0x06 U+0006
0x07 U+0007
0x08 U+0008
0x09 U+0009
0x0a U+000A
0x0b U+000B
0x0c U+000C
0x0d U+000D
0x0e U+000E
0x0f U+000F
0x10 U+0010
0x11 U+0011
0x12 U+0012
0x13 U+0013
0x14 U+0014
0x15 U+0015
0x16 U+0016
0x17 U+0017
0x18 U+0018
0x19 U+0019
0x1a U+001A
0x1b U+001B
0x1c U+001C
0x1d U+001D
0x1e U+001E
0x1f U+001F
0x20 U+0020
0x21 U+0021
0x22 U+0022
0x23 U+0023
0x24 U+0024
0x25 U+0025
0x26 U+0026
0x27 U+0027
0x28 U+0028
0x29 U+0029
0x2a U+002A
0x2b U+002B
0x2c U+002C
0x2d U+002D
0x2e U+002E
0x2f U+002F
0x30 U+0030
0x31 U+0031
0x32 U+0032
0x33 U+0033
0x34 U+0034
0x35 U+0035
0x36 U+0036
0x37 U+0037
0x38 U+0038
0x39 U+0039
0x3a U+003A
0x3b U+003B
0x3c U+003C
0x3d U+003D
0x3e U+003E
0x3f U+003F
0x40 U+0040
0x41 U+0041
0x42 U+0042
0x43 U+0043
0x44 U+0044
0x45 U+0045
0x46 U+0046
0x47 U+0047
0x48 U+0048
0x49 U+0049
0x4a U+004A
0x4b U+004B
0x4c U+004C
0x4d U+004D
0x4e U+004E
0x4f U+004F
0x50 U+0050
0x51 U+0051
0x52 U+0052
0x53 U+0053
0x54 U+0054
0x55 U+0055
0x56 U+0056
0x57 U+0057
0x58 U+0058
0x59 U+0059
0x5a U+005A
0x5b U+005B
0x5c U+005C
0x5d U+005D
0x5e U+005E
0x5f U+005F
0x60 U+0060
0x61 U+0061
0x62 U+0062
0x63 U+0063
0x64 U+0064
0x65 U+0065
0x66 U+0066
0x67 U+0067
0x68 U+0068
0x69 U+0069
0x6a U+006A
0x6b U+006B
0x6c U+006C
0x6d U+006D
0x6e U+006E
0x6f U+006F
0x70 U+0070
0x71 U+0071
0x72 U+0072
0x73 U+0073
0x74 U+0074
0x75 U+0075
0x76 U+0076
0x77 U+0077
0x78 U+0078
0x79 U+0079
0x7a U+007A
0x7b U+007B
0x7c U+007C
0x7d U+007D
0x7e U+007E
0x7f U+007F
0x80 U+0080
0x81 U+0081
0x82 U+0082
0x83 U+0083
0x84 U+0084
0x85 U+0085
0x86 U+0086
0x87 U+0087
0x88 U+0088
0x89 U+0089
0x8a U+008A
0x8b U+008B
0x8c U+008C
0x8d U+008D
0x8e U+008E
0x8f U+008F
0x90 U+0090
0x91 U+0091
0x92 U+0092
0x93 U+0093
0x94 U+0094
0x95 U+0095
0x96 U+0096
0x97 U+0097
0x98 U+0098
0x99 U+0099
0x9a U+009A
0x9b U+009B
0x9c U+009C
0x9d U+009D
0x9e U+009E
0x9f U+009F
0xa0 U+00A0
0xa1 U+017D
0xa2 U+00A2
0xa3 U+00A3
0xa4 U+20AC
0xa5 U+00A5
0xa6 U+012C
0xa7 U+00A7
0xa8 U+016C
0xa9 U+00A9
0xaa U+01E6
0xab U+00AB
0xac U+014A
0xad U+00AD
0xae U+00AE
0xaf U+01D1
0xb0 U+00B0
0xb1 U+017E
0xb2 U+00B2
0xb3 U+00B3
0xb4 U+00B4
0xb5 U+00B5
0xb6 U+012D
0xb7 U+00B7
0xb8 U+016D
0xb9 U+00B9
0xba U+01E7
0xbb U+00BB
0xbc U+014B
0xbd U+00BD
0xbe U+0178
0xbf U+01D2
0xc0 U+00C0
0xc1 U+00C1
0xc2 U+00C2
0xc3 U+00C3
0xc4 U+00C4
0xc5 U+00C5
0xc6 U+018F
0xc7 U+00C7
0xc8 U+00C8
0xc9 U+00C9
0xca U+00CA
0xcb U+00CB
0xcc U+00CC
0xcd U+00CD
0xce U+00CE
0xcf U+00CF
0xd0 U+011E
0xd1 U+00D1
0xd2 U+00D2
0xd3 U+00D3
0xd4 U+00D4
0xd5 U+00D5
0xd6 U+00D6
0xd7 U+00DD
0xd8 U+019F
0xd9 U+00D9
0xda U+00DA
0xdb U+00DB
0xdc U+00DC
0xdd U+0130
0xde U+015E
0xdf U+00DF
0xe0 U+00E0
0xe1 U+00E1
0xe2 U+00E2
0xe3 U+00E3
0xe4 U+00E4
0xe5 U+00E5
0xe6 U+0259
0xe7 U+00E7
0xe8 U+00E8
0xe9 U+00E9
0xea U+00EA
0xeb U+00EB
0xec U+00EC
0xed U+00ED
0xee U+00EE
0xef U+00EF
0xf0 U+011F
0xf1 U+00F1
0xf2 U+00F2
0xf3 U+00F3
0xf4 U+00F4
0xf5 U+00F5
0xf6 U+00F6
0xf7 U+00FD
0xf8 U+0275
0xf9 U+00F9
0xfa U+00FA
0xfb U+00FB
0xfc U+00FC
0xfd U+0131
0xfe U+015F
0xff U+00FF
