letters U+102 U+0C2 U+0CA U+0D3 U+1A0 U+1AF
0xb0	0x0300	COMBINING GRAVE
0xb1	0x0309	COMBINING HOOK ABOVE
0xb2	0x0303	COMBINING TILDE
0xb3	0x0301	COMBINING ACUTE
0xb4	0x0323	COMBINING DOT BELOW
0x41	0x0041	LATIN CAPITAL LETTER A
0x80	0x00c0	LATIN CAPITAL LETTER A WITH GRAVE
0x81	0x1ea2	LATIN CAPITAL LETTER A WITH HOOK ABOVE
0x82	0x00c3	LATIN CAPITAL LETTER A WITH TILDE
0x83	0x00c1	LATIN CAPITAL LETTER A WITH ACUTE
0x84	0x1ea0	LATIN CAPITAL LETTER A WITH DOT BELOW
0xa1	0x0102	LATIN CAPITAL LETTER A WITH BREVE
0xaf	0x1eb0	LATIN CAPITAL LETTER A WITH BREVE AND GRAVE
0xba	0x1eb2	LATIN CAPITAL LETTER A WITH BREVE AND HOOK ABOVE
0xbf	0x1eb4	LATIN CAPITAL LETTER A WITH BREVE AND TILDE
0xc0	0x1eae	LATIN CAPITAL LETTER A WITH BREVE AND ACUTE
0x85	0x1eb6	LATIN CAPITAL LETTER A WITH BREVE AND DOT BELOW
0xa2	0x00c2	LATIN CAPITAL LETTER A WITH CIRCUMFLEX
0xc1	0x1ea6	LATIN CAPITAL LETTER A WITH CIRCUMFLEX AND GRAVE
0xc2	0x1ea8	LATIN CAPITAL LETTER A WITH CIRCUMFLEX AND HOOK ABOVE
0xc3	0x1eaa	LATIN CAPITAL LETTER A WITH CIRCUMFLEX AND TILDE
0xc4	0x1ea4	LATIN CAPITAL LETTER A WITH CIRCUMFLEX AND ACUTE
0x86	0x1eac	LATIN CAPITAL LETTER A WITH CIRCUMFLEX AND DOT BELOW
0x42	0x0042	LATIN CAPITAL LETTER B
0x43	0x0043	LATIN CAPITAL LETTER C
0x44	0x0044	LATIN CAPITAL LETTER D
0xa7	0x0110	LATIN CAPITAL LETTER D WITH STROKE
0x45	0x0045	LATIN CAPITAL LETTER E
0x87	0x00c8	LATIN CAPITAL LETTER E WITH GRAVE
0x88	0x1eba	LATIN CAPITAL LETTER E WITH HOOK ABOVE
0x89	0x1ebc	LATIN CAPITAL LETTER E WITH TILDE
0x8a	0x00c9	LATIN CAPITAL LETTER E WITH ACUTE
0x8b	0x1eb8	LATIN CAPITAL LETTER E WITH DOT BELOW
0xa3	0x00ca	LATIN CAPITAL LETTER E WITH CIRCUMFLEX
0xc5	0x1ec0	LATIN CAPITAL LETTER E WITH CIRCUMFLEX AND GRAVE
0xcd	0x1ec2	LATIN CAPITAL LETTER E WITH CIRCUMFLEX AND HOOK ABOVE
0xd9	0x1ec4	LATIN CAPITAL LETTER E WITH CIRCUMFLEX AND TILDE
0xda	0x1ebe	LATIN CAPITAL LETTER E WITH CIRCUMFLEX AND ACUTE
0x8c	0x1ec6	LATIN CAPITAL LETTER E WITH CIRCUMFLEX AND DOT BELOW
0x46	0x0046	LATIN CAPITAL LETTER F
0x47	0x0047	LATIN CAPITAL LETTER G
0x48	0x0048	LATIN CAPITAL LETTER H
0x49	0x0049	LATIN CAPITAL LETTER I
0x8d	0x00cc	LATIN CAPITAL LETTER I WITH GRAVE
0x8e	0x1ec8	LATIN CAPITAL LETTER I WITH HOOK ABOVE
0x8f	0x0128	LATIN CAPITAL LETTER I WITH TILDE
0x90	0x00cd	LATIN CAPITAL LETTER I WITH ACUTE
0x91	0x1eca	LATIN CAPITAL LETTER I WITH DOT BELOW
0x4a	0x004a	LATIN CAPITAL LETTER J
0x4b	0x004b	LATIN CAPITAL LETTER K
0x4c	0x004c	LATIN CAPITAL LETTER L
0x4d	0x004d	LATIN CAPITAL LETTER M
